,Player,09/10vs. CLE,09/17vs. BAL,09/25vs. LAR,10/01vs. TEN,10/08vs. ARI,10/15vs. SEA,10/29vs. SFO,11/05vs. BUF,11/12vs. HOU,11/16vs. BAL,11/26vs. PIT,12/04vs. JAX,12/10vs. IND,12/16vs. MIN,12/23vs. PIT,12/31vs. KAN,01/07vs. CLE
,Tycen Anderson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Chidobe Awuzie,,,,,Q,Q,,,,,,,,,,,Q
,Joe Bachie,,,,,,,,,,,,,,Q,,,
,Markus Bailey,,Q,,,,,,,,,,,,,,,
,Tyler Boyd,,,,,,,,,,,,,Q,,,,
,Chase Brown,,,,,,,IR,IR,IR,IR,Q,,,,,,
,Joe Burrow,,,Q,,,,,,,,IR,IR,IR,IR,IR,IR,IR
,Jackson Carman,,,,,,,,,,,,,,Q,,,
,Ja'Marr Chase,,,,,,,,,Q,,,,,,O,Q,
,Devin Cochran,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jalen Davis,,,,,,,,,,,,,,,,Q,Q
,Akeem Davis-Gaither,,,,Q,O,O,O,Q,,,,,,,,,
,Chris Evans,,Q,,,,,,,,,,,,,,,
,Devin Harper,,,,,,Q,,,,,,,,,,,
,Trey Hendrickson,,,,,Q,,,,,,,,,,,,
,Tee Higgins,,,,,Q,Q,,,O,O,O,,,,,,D
,Sam Hubbard,,,,,,,,,O,O,,,,,,,
,Andrei Iosivas,,,,,,,,,,O,,,,,,,
,DJ Ivey,,,,,,,,,,,,,,,IR,IR,IR
,Charlie Jones,,,,O,IR,IR,IR,IR,Q,Q,,,,,,,
,Jaxson Kirkland,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
,Devonnsha Maxwell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Joe Mixon,,,,,,,,Q,,,,,,,,,
,Joseph Ossai,O,Q,,,,,,,,,,,,,,,
,Tautala Pesefea,IR,IR,,,,,,,,,,,,,,,
,Germaine Pratt,,,,,,,,,,,Q,,,,,,
,D.J. Reader,,,,,,,,,,,,,Q,,IR,IR,IR
,Drew Sample,,,,,,,,,,,,,,Q,,,
,Max Scharping,,,,,,,,Q,,,,,,,,,
,D'Ante Smith,,,,,,,,,,,D,Q,Q,,,,
,Irv Smith Jr.,,,D,O,,,,,,,,,,,,,
,Cam Taylor-Britt,,,,,Q,,,,,,O,O,IR,IR,IR,IR,
,Marvell Tell III,IR,IR,IR,,,,,,,,,,,,,,
,Jay Tufele,,,,,,,,,,,,Q,,,,,
,Josh Tupou,,,,,,Q,,O,D,,,,,,,,