,Player,09/10vs. LVR,09/17vs. WAS,09/24vs. MIA,10/01vs. CHI,10/08vs. NYJ,10/12vs. KAN,10/22vs. GNB,10/29vs. KAN,11/13vs. BUF,11/19vs. MIN,11/26vs. CLE,12/03vs. HOU,12/10vs. LAC,12/16vs. DET,12/24vs. NWE,12/31vs. LAC,01/07vs. LVR
,Nik Bonitto,,,,,,,,,,,,,,O,O,,
,Baron Browning,,,,,O,O,,,,,,,,,,O,
,Frank Clark,,O,O,O,,O,,,,,,,,,,,
,Lloyd Cushenberry III,,,,,Q,,,,,,,,,,,,
,Greg Dulcich,,O,IR,IR,IR,Q,O,IR,IR,IR,IR,IR,IR,O,O,O,
,Yasir Durant,IR,,,,,,,,,,,,,,,,
,Jonas Griffith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jerry Jeudy,Q,,,,,,,,,,,,,,,Q,
,Josey Jewell,,,,O,,,,,,,,,,,,,
,Brandon Johnson,,,,,,,,Q,IR,IR,IR,IR,,,,,
,D.J. Jones,,,,,,O,,,,,,,,,,,
,P.J. Locke,IR,IR,IR,IR,IR,,,,,O,Q,,,Q,,,
,Chris Manhertz,,,,,,,,,,,,,,,,,O
,Damarri Mathis,,,,,,,,,,,,Q,,,,,
,Mike McGlinchey,,,,,,,,,,,,,,,,,O
,Forrest Merrill,IR,,,,,,,,,,,,,,,,
,Marvin Mims,,,,,,,,,,,,,,,,Q,
,Riley Moss,Q,,,,,,,,,,,,,,,,
,Alex Palczewski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,O,
,Tim Patrick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Samaje Perine,,,,,,,,,,,,,Q,,,,
,Mike Purcell,,,Q,O,Q,,,,,,,,,,,,
,Justin Simmons,,,O,Q,,,,,,,,,,,,,
,Caden Sterns,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Courtland Sutton,,,,,,,,,,,,,,,,O,
,Delarrin Turner-Yell,,,,,,,,,,,,,,,,,IR
,Jalen Virgil,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Dwayne Washington,,,,,,,,,,,Q,,,,,Q,
,Javonte Williams,,,,,Q,,,,,,,,,,,,
,K'Waun Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR