,Player,09/10vs. WAS,09/17vs. NYG,09/24vs. DAL,10/01vs. SFO,10/08vs. CIN,10/15vs. LAR,10/22vs. SEA,10/29vs. BAL,11/05vs. CLE,11/12vs. ATL,11/19vs. HOU,11/26vs. LAR,12/03vs. PIT,12/17vs. SFO,12/24vs. CHI,12/31vs. PHI,01/07vs. SEA
,Budda Baker,,Q,IR,IR,IR,IR,Q,,,,,,,Q,,,
,Krys Barnes,,,,Q,,,,O,Q,,,,,Q,,,
,Kelvin Beachum,O,Q,,,,,,,,,,,,,,,
,Joey Blount,,,,,,,,,,,O,Q,Q,,,,
,Marquise Brown,Q,,,Q,,Q,,,,,,Q,Q,Q,O,O,IR
,Andre Chachere,,,,,,,,,,,,,,,Q,,
,Kei'Trel Clark,,,,,,,Q,,,,,,,,,,
,L.J. Collier,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Trystan Colon,,,,,,,,,O,O,Q,,,,,,
,James Conner,,,,,,IR,IR,IR,IR,Q,,,,,,,
,Dennis Daley,IR,IR,IR,IR,Q,Q,,,,,,,,,,,
,Emari Demercado,,,,,,,,,O,O,O,Q,,,,,
,Victor Dimukeje,,,,,,,,,,,,,,,Q,,
,Greg Dortch,,,,,,,,Q,Q,,,,,,Q,,
,Pat Elflein,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Zach Ertz,Q,,,,,,,IR,IR,IR,IR,IR,IR,,,,
,Rashad Fenton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Leki Fotu,,Q,Q,,,,,,,,,IR,IR,IR,IR,O,
,Jon Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Blake Gillikin,,,,,,,,,,,,,,Q,,,
,Antonio Hamilton,,,,,,,O,Q,,,,O,O,,Q,,
,Matt Hembrough,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Will Hernandez,,,,,Q,,,,,Q,,,,,,,
,Elijah Higgins,,,,,,Q,,,,,,,,,,,
,Hayden Howerton,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,D.J. Humphries,,,,,,,,,,Q,Q,,,,,,IR
,Keaontay Ingram,,,,Q,Q,,,,,,,,,,,,
,Paris Johnson,,,,Q,,,,,,,,,,,,,
,Jonathan Ledbetter,,,,O,O,Q,,,,,O,Q,,,,O,IR
,Jesse Luketa,,,,,,Q,,,,,,Q,,,,,
,Marlon Mack,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Trey McBride,,,,,,,,,,,,,Q,,,,
,Jovante Moffatt,,IR,IR,,,,,,,,,,,,,,
,Kyler Murray,,,,,,,O,D,Q,,,,,,,Q,
,Carter O'Donnell,,,,,,,,,,Q,,,,,,,
,Owen Pappoe,,,,,,,,,,,,,,,,Q,
,Zach Pascal,,,,,,,Q,,,,O,Q,Q,,,,
,Bobby Price,,,,,,,,,,IR,IR,IR,IR,O,O,Q,
,Myjai Sanders,IR,IR,IR,IR,IR,Q,,,,,,,,,,,
,Lachavious Simmons,IR,,,,,,,,,,,,,,,,
,Jeff Smith,,,,,,,,,IR,,,,,,,,
,Tyreke Smith,,,,,,,,,,,,,,O,,,
,Dante Stills,,,,,,,,,,,,,,,,,IR
,Kevin Strong,,,,,,,Q,O,Q,,Q,O,Q,,,,
,Geoff Swaim,,,,,,,,,,Q,,,,Q,IR,IR,IR
,Starling Thomas,,,,,,,,,,,,,O,,,,
,Jalen Thompson,,,,,,O,O,Q,,,,Q,Q,,,,
,Zeke Turner,,,,,,,,,,Q,Q,,,,,,
,Carlos Watkins,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kyzir White,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
,Elijah Wilkinson,,,,,,,O,O,IR,IR,IR,IR,O,Q,,,
,Damien Williams,,,,,,,,,IR,IR,,,,,,,
,Garrett Williams,,,,,O,Q,Q,,,,,,,,O,Q,
,Michael Wilson,,,,,,,,,Q,Q,Q,O,O,Q,,,
,Josh Woods,,O,O,O,Q,Q,Q,,,,,,,,IR,IR,IR