,Player,09/10vs. NYG,09/17vs. NYJ,09/24vs. ARI,10/01vs. NWE,10/08vs. SFO,10/16vs. LAC,10/29vs. LAR,11/05vs. PHI,11/12vs. NYG,11/19vs. CAR,11/23vs. WAS,11/30vs. SEA,12/10vs. PHI,12/17vs. BUF,12/24vs. MIA,12/30vs. DET,01/07vs. WAS,01/14vs. GNB
,Dorance Armstrong Jr.,,,,,,,,,,,,,,,,,Q,
,Josh Ball,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Tyler Biadasz,,,Q,Q,,,,,,,,,,,,,,
,Damone Clark,,,,,Q,,,,,,,,,,,,,
,Brandin Cooks,,Q,,,,,,,,,,,,Q,,,,
,Trevon Diggs,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Rico Dowdle,,,,,,,,,,,Q,,,,,O,,
,David Durden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Chuma Edoga,,,,,,Q,,,,,,,,,,,,
,Viliami Fehoko,,,,,,,,,,IR,IR,IR,IR,Q,Q,Q,,
,Stephon Gilmore,,,,,,,,,,,,,,Q,,,,
,Chauncey Golston,,,,,,,,,,,,,,,,,Q,
,C.J. Goodwin,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Johnathan Hankins,,,,,,,,,,,,,,O,O,O,Q,
,Peyton Hendershot,,,,Q,O,IR,IR,IR,IR,IR,,,,,,,,
,Malik Hooker,Q,,,,,,,,,,,,,Q,Q,,,
,Jayron Kearse,,,,,,,,,,,D,,,,,,,
,Zack Martin,,Q,Q,Q,,,,,,,,,,,Q,,,
,Sean McKeon,,,,,,,,,,,,,IR,IR,IR,IR,IR,IR
,DeMarvion Overshown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Billy Price,,,,,,,,,,IR,IR,IR,IR,IR,,,,
,Cooper Rush,,,,,,,,,,,,,,,,,,Q
,Tyler Smith,D,D,,,,,,,,,,,,,,,Q,
,Tyron Smith,Q,,Q,O,,,Q,Q,,,,,,,D,Q,,
,John Stephens,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Juanyeh Thomas,,,,,,D,,,,,,,,,,,Q,
,Jalen Tolbert,,,,,,,,,,,,,,Q,,,,
,KaVontae Turpin,,,,,,,,,Q,,,,,,,,,
,Leighton Vander Esch,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Deuce Vaughn,,,,,,,,,,,,,,,,,IR,IR
,Matt Waletzko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,,Q,,,
,Sam Williams,Q,,,,,,,,,,,,,,,,,
,Donovan Wilson,D,D,,,,,,,,,,,,,,,,
,Nahshon Wright,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,