,Player,09/10vs. LAC,09/17vs. NWE,09/24vs. DEN,10/01vs. BUF,10/08vs. NYG,10/15vs. CAR,10/22vs. PHI,10/29vs. NWE,11/05vs. KAN,11/19vs. LVR,11/24vs. NYJ,12/03vs. WAS,12/11vs. TEN,12/17vs. NYJ,12/24vs. DAL,12/31vs. BAL,01/07vs. BUF,01/13vs. KAN
,De'Von Achane,,,,,,IR,IR,IR,IR,Q,Q,,,Q,,,,
,Salvon Ahmed,,,D,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,Terron Armstead,O,Q,Q,Q,IR,IR,IR,IR,Q,,Q,Q,Q,Q,,,,
,Jerome Baker,,,,,,,,,,,,,IR,IR,IR,IR,Q,IR
,Braxton Berrios,,,,,,,,,Q,Q,,,,,,,,
,Justin Bethel,Q,,,,,,,,Q,,,,,,,,,
,Chris Brooks,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,
,Elijah Campbell,O,Q,Q,,,,,,,,,,,,Q,,,
,Bradley Chubb,,,,,,,,,,,,,,,,,O,IR
,Chase Claypool,,,,,,,,,,O,Q,,,,,,,
,Lester Cotton,,,,,Q,,,,,,Q,Q,,,,Q,,
,River Cracraft,,,,IR,IR,IR,IR,Q,Q,,,,,,,,,
,Keion Crossen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Raekwon Davis,,,Q,,,,,,,,,,,,,,,
,Myles Dorn,IR,IR,,,,,,,,,,,,,,,,
,Liam Eichenberg,,,,,,,,,,,,,,Q,,Q,,
,DeShon Elliott,,,,Q,,,,,,,,,,O,,,,Q
,Tino Ellis,IR,,,,,,,,,,,,,,,,,
,Mark Gilbert,IR,,,,,,,,,,,,,,,,,
,Cameron Goode,,,,,,,,,,,,,,,,,,IR
,Julian Hill,Q,Q,Q,,,,,,,,,,,,,,,
,Tyreek Hill,,,,,,,,,,,,,,Q,Q,,,
,Jevon Holland,,,,,,,,Q,,,,Q,Q,Q,Q,Q,Q,Q
,Xavien Howard,,,,,,,Q,Q,Q,,,,,Q,Q,Q,O,O
,Robert Hunt,,,,,,,,,O,O,Q,,O,O,O,D,,
,Alec Ingold,,,,,,Q,Q,Q,,Q,Q,,,,,,,
,Austin Jackson,,,,,,,,,,,Q,,,Q,Q,Q,,
,Brandon Jones,,,,,,,,,O,,,,,,,,,
,Robert Jones,IR,IR,IR,IR,O,Q,,,,O,D,Q,,,,,,
,Tyler Kroft,,,Q,,,,,,,,,,,,,,,
,Kendall Lamm,,,,,,,,,,,,Q,,,,,,
,Raheem Mostert,,,,,,,,Q,,,,,,Q,,Q,Q,Q
,Nik Needham,,,,,O,D,Q,Q,Q,,,,,,,,,
,Emmanuel Ogbah,,,,,,,,,,,,,,,Q,,,
,Jaelan Phillips,,Q,Q,O,Q,Q,,,,,,IR,IR,IR,IR,IR,IR,IR
,Jalen Ramsey,IR,IR,IR,IR,IR,IR,O,Q,,,,,,,,Q,,
,Eric Saubert,IR,,,,,,,,,,,,,,,,,
,Cam Smith,,,,,,,,Q,,,,,,,Q,,,
,Durham Smythe,,,,,,,,,Q,Q,Q,,,,,,,
,Freddie Swain,IR,,,,,,,,,,,,,,,,,
,Andrew Van Ginkel,,,,,,,,,,,,,,Q,,,,IR
,Zeke Vandenburgh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jaylen Waddle,,,O,,,,,,,,,,,,,O,Q,Q
,Connor Williams,,,,Q,Q,O,Q,Q,Q,,,,,IR,IR,IR,IR,IR
,Jeff Wilson,IR,IR,IR,IR,IR,O,,,,,,,,,,,,
,Isaiah Wynn,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR