,Player,09/10vs. CAR,09/17vs. GNB,09/24vs. DET,10/01vs. JAX,10/08vs. HOU,10/15vs. WAS,10/22vs. TAM,10/29vs. TEN,11/05vs. MIN,11/12vs. ARI,11/26vs. NOR,12/03vs. NYJ,12/10vs. TAM,12/17vs. CAR,12/24vs. IND,12/31vs. CHI,01/07vs. NOR
,DeAundre Alford,,,,,,,,,,O,,,,,,,
,Josh Ali,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Troy Andersen,,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O
,Cornell Armstrong,IR,,,,,,,,,,,,,,,,
,Chris Blair,IR,,,,,,,,,,,,,,,,
,Drew Dalman,,,,,,,,,,,,,Q,Q,,,O
,Tae Davis,,,,,,,,O,,,,,,,,,
,Bud Dupree,,,,,,,,Q,,,,,,,Q,,
,Ikenna Enechukwu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Feleipe Franks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Ethan Greenidge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Keilahn Harris,,,,,,,IR,IR,,,,,,,,,
,Zach Harrison,,,,,,,,,,,,,,,,,Q
,Penny Hart,IR,IR,IR,IR,IR,,,,,,,,,,,,
,Taylor Heinicke,,,,,,,,,,,Q,,,,,,Q
,DeMarcco Hellams,,,,,,,,,O,,,,,,,,O
,Matt Hennessy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Parker Hesse,,,,,IR,IR,IR,IR,IR,IR,,,,,,,
,KhaDarel Hodge,Q,,,,,,,,,,,,,,,,
,Mack Hollins,,,,,,,,,,O,O,Q,Q,,,,
,Mike Hughes,,,,,,,,,,,,Q,Q,,,,Q
,Grady Jarrett,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Younghoe Koo,,,,,,,,,,,,,,Q,,,
,Nathan Landman,,,,,,,,,,,,,O,Q,,,
,Chris Lindstrom,,,,,,,,,,,,,,Q,,,
,Drake London,,,,,,,,,O,,,,,,,,
,LaCale London,,,,,,,,,IR,IR,IR,IR,O,Q,,,
,Jake Matthews,,,,,,,,,,,,,,Q,,,
,Kaleb McGary,,,,,,,,,,,,,O,O,Q,Q,
,Adetokunbo Ogundeji,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jeff Okudah,O,Q,Q,,,,,,,,,,Q,,,,
,David Onyemata,,,,,,,,,,Q,,,O,O,Q,,
,Cordarrelle Patterson,Q,,Q,Q,,,,,,,,,,,,,
,Bradley Pinion,,,,,,,,Q,,,,,,,,,
,Jacob Saylors,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
,Keith Smith,,,,,,,,,O,,,,,,D,IR,IR
,Kentavius Street,,,,,,,,,,,,,,O,IR,IR,IR
,AJ Terrell,,,,,,,,,,,,,Q,,,,
,Barry Wesley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Avery Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR