,Player,09/07vs. KAN,09/17vs. SEA,09/24vs. ATL,09/28vs. GNB,10/08vs. CAR,10/15vs. TAM,10/22vs. BAL,10/30vs. LVR,11/12vs. LAC,11/19vs. CHI,11/23vs. GNB,12/03vs. NOR,12/10vs. CHI,12/16vs. DEN,12/24vs. MIN,12/30vs. DAL,01/07vs. MIN,01/14vs. LAR,01/21vs. TAM,01/28vs. SFO
,Alex Anzalone,,,,,,,,,,,,O,,,,,,,,
,Derrick Barnes,,,,,,,,,,,,,,,D,,,,,
,Brian Branch,,,,,O,O,,,,,,,,,,,,,,
,Jason Cabinda,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,,,,,
,John Cominsky,,,,,,,,,,,,,,,,,,Q,,
,Scott Daly,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Taylor Decker,,O,O,Q,Q,,,,,,,,,Q,,,,,,
,Khalil Dorsey,,O,IR,IR,IR,Q,,,,,,,,,,,,,,
,C.J. Gardner-Johnson,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,O,Q,,,
,Jahmyr Gibbs,,,,,Q,O,,,,,,,,,,,,,,
,Hendon Hooker,,,,,,,,,,,,O,O,O,,,,,,Q
,James Houston,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,O,O,Q,
,Mohamed Ibrahim,IR,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jonah Jackson,,,,Q,,O,O,O,,,O,Q,,,,,,,,O
,Jerry Jacobs,,,,,,,Q,,,,,,,,O,,,O,IR,IR
,Jermar Jefferson,,,,,,,,,,,,,,,,,,,,IR
,Benito Jones,,,,,,,,Q,,,,,,Q,,,Q,,,
,Marvin Jones,,,,,,,O,,,,,,,,,,,,,
,Kerby Joseph,,,O,Q,Q,,,,,,,,,,,,,,,
,Tom Kennedy,IR,,,,,,,,,,,,,,,,,,,
,Zonovan Knight,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Sam LaPorta,,,,,,Q,,,,,,,,,,,,Q,Q,
,Chase Lucas,,,,,,,,,,,,,,,,,,,,Q
,Alim McNeill,,,,,,,,,,,,,IR,IR,IR,IR,Q,,,
,Denzel Mims,IR,,,,,,,,,,,,,,,,,,,
,James Mitchell,,,,,D,O,Q,,,,,,,,,,,O,IR,IR
,David Montgomery,,,D,Q,,,O,O,,,,,,,,,,,,
,Emmanuel Moseley,O,O,O,Q,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Matt Nelson,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Julian Okwara,IR,IR,IR,IR,Q,,,,,,,,,,,,,,,
,Levi Onwuzurike,,,,,,,,,D,,,,,,,,,,,
,Josh Paschal,,O,IR,IR,IR,O,Q,Q,,,,,,,,,,,,
,Donovan Peoples-Jones,,,,,,,,,Q,,,,,,,,,,,
,Trey Quinn,IR,,,,,,,,,,,,,,,,,,,
,Frank Ragnow,,,,,,,,D,,,,,O,Q,,,,,,
,Kalif Raymond,,,,,,,,,,,,,,,,,,O,O,O
,Craig Reynolds,,,,,,,Q,,,,,,,,,,,,,
,Josh Reynolds,,,Q,,Q,,,,,,,,,Q,,,,,,
,Malcolm Rodriguez,,,,,,,,Q,,,,,Q,,,,,,,
,Dan Skipper,,,,,,,,,Q,,,,,,,,,,,
,Amon-Ra St. Brown,,,Q,,D,,,Q,,,,,,,,,,,,
,Nate Sudfeld,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Cameron Sutton,,,,,,,,,,,,,,,,Q,,,,
,Halapoulivaati Vaitai,,,O,O,Q,,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jameson Williams,,,,,Q,,,,,,,,,,,,O,,,
,Brock Wright,,,,,,,,,,,,,,,O,O,O,,,IR
,Shane Zylstra,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR