,Player,09/10vs. PHI,09/17vs. MIA,09/24vs. NYJ,10/01vs. DAL,10/08vs. NOR,10/15vs. LVR,10/22vs. BUF,10/29vs. MIA,11/05vs. WAS,11/12vs. IND,11/26vs. NYG,12/03vs. LAC,12/07vs. PIT,12/17vs. KAN,12/24vs. DEN,12/31vs. BUF,01/07vs. NYJ
,Calvin Anderson,,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR
,David Andrews,,,,,,,Q,,,,,,,,,,
,Christian Barmore,,,Q,Q,Q,Q,Q,Q,Q,Q,,,Q,Q,D,Q,Q
,Ja'Whaun Bentley,,,,,,,,,Q,Q,Q,,,Q,Q,,
,Chris Board,,,,,,,,,,,,Q,,,,,
,Isaiah Bolden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kendrick Bourne,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kayshon Boutte,,,,,,,Q,,,,,O,O,,,O,
,Pharaoh Brown,,,,,,,,,Q,,,,,Q,,,Q
,Trent Brown,,Q,,,Q,Q,Q,Q,Q,O,Q,Q,Q,Q,Q,,O
,Myles Bryant,,,,,,,,,,Q,,,,,,Q,Q
,Matt Corral,Q,,,,,,,,,,,,,,,,
,Cody Davis,,,,,Q,O,Q,,,,,,,,,,
,Demario Douglas,,,,,,O,Q,,,Q,,O,O,,,,
,Kyle Dugger,,,,,,Q,Q,,,,,,,,,Q,
,Daniel Ekuale,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Ezekiel Elliott,,,,,,,,,,,,Q,,,,,
,Trey Flowers,,,,,Q,Q,Q,,,,,,,,,,
,Davon Godchaux,,,,Q,Q,Q,Q,,Q,,,,,,,,
,Christian Gonzalez,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Terez Hall,IR,,,,,,,,,,,,,,,,
,Hunter Henry,,,,,,,Q,,,,,,,,O,Q,Q
,J.C. Jackson,,,,,,,,,,O,,,,,,,
,Anfernee Jennings,,,,,,,,,,,,,,,Q,Q,Q
,Jack Jones,O,IR,IR,IR,IR,IR,Q,,,Q,,,,,,,
,Jonathan Jones,,Q,O,Q,Q,Q,,Q,Q,Q,Q,,,,Q,Q,Q
,Marcus Jones,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Matt Judon,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Vederian Lowe,,,,,,,,O,Q,Q,,,,,,,
,Conor McDermott,IR,,,,,,,,,,,,,,O,IR,IR
,Raekwon McMillan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Jalen Mills,,,,,,,,,,,,,,,,,Q
,Tre Nixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Michael Onwenu,Q,Q,Q,,,Q,Q,,,,,,,,,,
,DeVante Parker,Q,Q,,,,,,,O,O,Q,,Q,Q,,,Q
,Jabrill Peppers,,,,,,,,,,,,,,,O,O,Q
,Riley Reiff,IR,IR,IR,IR,Q,O,O,IR,IR,IR,Q,Q,O,,,,
,Matthew Slater,,,,,,,,,,Q,Q,,,Q,Q,Q,Q
,JuJu Smith-Schuster,,,,,,O,Q,,,,,,Q,Q,O,O,IR
,Sidy Sow,,Q,O,,,,,,,,,Q,,,,,
,Rhamondre Stevenson,Q,,,,Q,,,,,,,,O,O,O,IR,IR
,Cole Strange,Q,Q,Q,Q,Q,O,Q,,,,,,,,IR,IR,IR
,Jahlani Tavai,,,,,,,,,,,,,,,Q,,Q
,Tyquan Thornton,IR,IR,IR,IR,IR,Q,,,Q,,,,,Q,,,Q
,Joshua Uche,,,,,,Q,O,O,Q,,,,,,,,
,Shaun Wade,,,,Q,Q,Q,Q,Q,,,,,O,,,Q,Q
,Tyrone Wheatley Jr.,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,
,Keion White,,,,,,,O,Q,,,,,,,,,
,Deatrich Wise Jr.,,,,,,,,Q,Q,Q,Q,Q,,,,,