,Player,09/10vs. NOR,09/17vs. LAC,09/24vs. CLE,10/01vs. CIN,10/08vs. IND,10/15vs. BAL,10/29vs. ATL,11/02vs. PIT,11/12vs. TAM,11/19vs. JAX,11/26vs. CAR,12/03vs. IND,12/11vs. MIA,12/17vs. HOU,12/24vs. SEA,12/31vs. HOU,01/07vs. JAX
,Denico Autry,,,Q,Q,,,,,,,,,,Q,,,
,Tre Avery,O,,,,,,,,,,,,,,,Q,
,Quinton Bohanna,,,,,,,,,,,,,,,,O,
,Aaron Brewer,,,,,,Q,,,,,,,,,Q,,
,Mike Brown,,,,IR,IR,IR,IR,O,O,,,,,,,,
,Shakel Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Daniel Brunskill,,,,,,,,,O,Q,,,,Q,Q,,Q
,Treylon Burks,,,,O,O,O,,,O,O,O,Q,,,,,
,Chance Campbell,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,Julius Chestnut,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Marlon Davidson,,,,,,,,,,,,,,,,Q,
,Andre Dillard,,,,,,,,,,O,,,,,,,
,JoJo Domann,,,,,,,,,,,,,,,,Q,
,Colton Dowell,,,,,,,,,,,,,,,,,O
,Jaelyn Duncan,,,,,,,,,,,,,,,,,Q
,Terrell Edmunds,,,,,,,,,,,Q,,,,,,
,Caleb Farley,,,,,,,,,,,,,,,O,O,O
,Kristian Fulton,,,,,,,,,,,,,O,IR,IR,IR,IR
,Jack Gibbens,,,,,,,,,,,,,,Q,O,IR,IR
,Luke Gifford,,,,O,O,O,,,,Q,Q,,,,O,IR,IR
,Hassan Haskins,IR,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Amani Hooker,,O,,,,,,,,,,,,,O,IR,IR
,DeAndre Hopkins,,Q,Q,,,,,Q,,,,,,,,,
,Chris Hubbard,,,,,,,,O,,,O,IR,IR,IR,IR,IR,IR
,Kearis Jackson,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Joseph Jones,,,,,,,,,,,,,IR,IR,IR,IR,IR
,Naquan Jones,,,,,,,Q,,,,,,,,,,
,Anthony Kendall,,,Q,,,,,,Q,,,,,,,,O
,Harold Landry,Q,,,,,,,,,,,,,,,,
,Will Levis,,,,,,,,,,,,,,,Q,,Q
,Roger McCreary,,,,,,,O,O,,,,,,,,,
,TK McLendon,,,,,,,,,,,,,,,O,,O
,Elijah Molden,,,,O,,O,,,,,,,,,,,
,Caleb Murphy,,,,,,,,,,,,,,,,,Q
,Sean Murphy-Bunting,,,,,,,,,O,O,,,,,O,,
,Chigoziem Okonkwo,,,,,,,,,,,,,,,Q,,
,Kyle Peko,,,,,,,,,,,,,,IR,IR,IR,IR
,Nicholas Petit-Frere,,,,,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Kyle Philips,IR,IR,IR,IR,,,,,,,,,,O,O,,
,Kevin Rader,,,,,,,,,,,,,,,,,Q
,Dillon Radunz,Q,,,,,,,,,,,,,,,,
,Jeffery Simmons,,,,,,,,,,,,,O,O,O,IR,IR
,Peter Skoronski,,O,O,O,,,,,,,,,,,,,
,Taylor Stallworth,,,,,,,IR,IR,IR,IR,,,,,,,
,Ryan Stonehouse,,,,,,,,,,,,,IR,IR,IR,IR,IR
,Ryan Tannehill,,,,,,,O,O,Q,,,,,,,,
,Teair Tart,,,,Q,O,Q,,,,,,,Q,O,,,
,K'Von Wallace,,,,,,,,,,,,,,Q,O,,
,Trevon Wesco,,,,,,,,,,,,,,,Q,,
,Nick Westbrook-Ikhine,,,,,,,,,,,,,,Q,IR,IR,IR
,Josh Whyle,,,,,,,O,,,,,,O,O,Q,Q,IR