,Player,09/10vs. TAM,09/14vs. PHI,09/24vs. LAC,10/01vs. CAR,10/08vs. KAN,10/15vs. CHI,10/23vs. SFO,10/29vs. GNB,11/05vs. ATL,11/12vs. NOR,11/19vs. DEN,11/27vs. CHI,12/10vs. LVR,12/16vs. CIN,12/24vs. DET,12/31vs. GNB,01/07vs. DET
,Jordan Addison,,,,,,,,,,,,,,,,Q,
,Cam Akers,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
,Brian Asamoah,,,,,Q,,,O,Q,Q,Q,,,,,,
,Mekhi Blackmon,,,,,,,,,,,,,,,,Q,O
,Garrett Bradbury,,O,Q,Q,,,,,,,,,,,,,
,Jonathan Bullard,,,,,,,,,,,,,,,Q,,
,Lewis Cine,,,,O,Q,,,,,,,,,,,,
,Ezra Cleveland,,,,,,,O,Q,,,,,,,,,
,Kirk Cousins,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Christian Darrisaw,,Q,,,,,,,Q,,,,,,,,Q
,Marcus Davenport,,Q,O,Q,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Troy Dye,,,,,,,,,,,,,,,,Q,IR
,Akayleb Evans,,,,,,,Q,,,,O,,,,,,
,Jaren Hall,,,,Q,,,,,,O,O,,,,,,
,Jordan Hicks,,,,,,,,,,,IR,IR,IR,IR,Q,,
,T.J. Hockenson,,,,,,,,,,Q,,,,,,IR,IR
,Ed Ingram,,,,,,,,,,,,,Q,,,,Q
,Theo Jackson,,,,,,,,,,,,,Q,,,O,O
,Justin Jefferson,,,,,,IR,IR,IR,IR,Q,Q,Q,,Q,,,
,Malik Knowles,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,William Kwenkeu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Dean Lowry,,,,,,,,,O,D,,IR,IR,IR,IR,IR,IR
,James Lynch,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,Alexander Mattison,,,,,,,,,,,Q,,,O,Q,,
,Nick Mullens,,,,,Q,IR,IR,IR,IR,IR,Q,,,,,,
,Byron Murphy,,,,,,,,,,,,,,,O,O,O
,Jalen Nailor,,,IR,IR,IR,IR,Q,Q,Q,,,,,O,O,O,O
,Kene Nwangwu,IR,IR,IR,IR,IR,Q,,O,,,,,,,,,
,Brian O'Neill,,,,,,,,,,,,,,O,Q,,O
,K.J. Osborn,,,,,,,,,,Q,,,,,,,
,Ivan Pace,,,,,,,,,,,,,,,Q,,
,Harrison Phillips,,,,,,,,,,,,,,,Q,,
,Chris Reed,,,,,,,,,O,Q,Q,,,Q,,,
,Jaquelin Roy,,,,,,,,,,,,,,,,O,O
,Khyiris Tonga,,,,,,,,,,,,Q,,,,,
,Oli Udoh,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
,D.J. Wonnum,,,,,,,,,,,,,,,,IR,IR