week,game_id,play_id,player_name,possession_team,defensive_team,pass_result,pass_length,route_of_targeted_receiver,game_clock,down,num_collision,collision_risk_score
1,2023090700,1494,Marvin Jones,DET,KC,I,24,IN,03:06,2,2,62.19846688359792
1,2023090700,2364,Kadarius Toney,KC,DET,IN,4,CROSS,11:04,3,2,83.33325656023837
1,2023090700,3461,Josh Reynolds,DET,KC,C,18,IN,10:46,3,2,42.36859229677462
1,2023090700,4041,Justin Watson,KC,DET,I,25,CORNER,02:09,4,2,83.33237465449076
1,2023090700,713,Noah Gray,KC,DET,I,4,OUT,02:11,2,2,83.33332687127677
1,2023090700,877,Marquez Valdes-Scantling,KC,DET,C,13,HITCH,14:25,2,2,78.4624642346431
1,2023091000,1720,Jonathan Mingo,CAR,ATL,I,11,HITCH,01:44,2,2,83.33330662567597
1,2023091000,1743,Jonathan Mingo,CAR,ATL,I,16,IN,01:39,3,2,68.85051861860076
1,2023091000,2207,Kyle Pitts,ATL,CAR,I,15,CROSS,10:24,2,2,83.21174988113975
1,2023091000,2823,Tyler Allgeier,ATL,CAR,C,8,OUT,00:55,1,2,74.1410643024025
1,2023091000,3369,Jonathan Mingo,CAR,ATL,I,43,GO,08:16,1,2,83.33332538665611
1,2023091001,3216,Robert Woods,HOU,BAL,I,17,IN,01:51,3,2,78.9562197509471
1,2023091001,4239,Tank Dell,HOU,BAL,C,13,HITCH,03:39,3,2,83.33284544289357
1,2023091001,4322,Robert Woods,HOU,BAL,I,5,IN,02:55,1,2,82.89281664474338
1,2023091001,4564,Xavier Hutchinson,HOU,BAL,C,7,IN,00:53,2,2,47.098217251396605
1,2023091002,3314,Tee Higgins,CIN,CLE,I,16,GO,00:26,2,2,83.24136689494591
1,2023091002,3571,Tee Higgins,CIN,CLE,I,7,HITCH,11:29,1,2,83.33323357477424
1,2023091003,143,Zay Jones,JAX,IND,I,6,HITCH,13:35,1,2,82.33887382525978
1,2023091003,1706,Zay Jones,JAX,IND,C,18,GO,05:02,2,2,80.52136204947782
1,2023091003,2608,Evan Engram,JAX,IND,C,23,GO,10:17,2,2,83.26603754661731
1,2023091003,3998,Mo Alie-Cox,IND,JAX,IN,19,CORNER,05:09,2,2,70.39600378048293
1,2023091003,410,Calvin Ridley,JAX,IND,C,24,GO,08:32,1,2,83.33281845109754
1,2023091004,1190,Justin Jefferson,MIN,TB,C,16,POST,14:08,1,2,82.98707746957143
1,2023091004,3244,Alexander Mattison,MIN,TB,I,9,FLAT,15:00,1,2,76.20832532778064
1,2023091004,3641,K.J. Osborn,MIN,TB,I,12,HITCH,10:08,3,2,83.33333330308994
1,2023091004,695,Mike Evans,TB,MIN,I,39,GO,06:29,3,2,83.18992876197373
1,2023091005,1016,Chris Olave,NO,TEN,I,29,CORNER,01:36,3,2,79.23474854114824
1,2023091005,159,Chig Okonkwo,TEN,NO,I,7,HITCH,14:56,1,2,52.17414008734372
1,2023091005,1721,DeAndre Hopkins,TEN,NO,I,17,IN,07:37,1,2,81.91182878934274
1,2023091005,2283,Juwan Johnson,NO,TEN,IN,19,POST,00:37,3,2,78.81433591177499
1,2023091005,2440,Chris Moore,TEN,NO,IN,46,CORNER,13:06,1,2,71.13141008322306
1,2023091005,301,Michael Thomas,NO,TEN,C,25,GO,13:35,1,2,83.30990585223282
1,2023091005,3067,DeAndre Hopkins,TEN,NO,IN,17,GO,03:14,3,2,82.91327235520187
1,2023091005,793,Tyjae Spears,TEN,NO,I,15,GO,04:34,1,2,82.78410127826618
1,2023091006,2188,George Pickens,PIT,SF,I,45,POST,01:31,2,2,83.21828789062008
1,2023091006,2380,Diontae Johnson,PIT,SF,I,8,SLANT,00:42,3,2,82.41815607216749
1,2023091006,2861,Brandon Aiyuk,SF,PIT,C,16,POST,12:00,1,2,83.19936632279517
1,2023091006,3472,Pat Freiermuth,PIT,SF,I,8,POST,02:06,4,3,100
1,2023091006,3779,Calvin Austin III,PIT,SF,C,13,HITCH,11:58,1,2,83.28733549448664
1,2023091006,3881,Connor Heyward,PIT,SF,IN,22,POST,10:23,1,2,81.79111583694325
1,2023091006,4163,Jaylen Warren,PIT,SF,I,1,FLAT,05:30,1,2,83.3333304481131
1,2023091006,4340,Allen Robinson,PIT,SF,C,18,HITCH,03:09,3,3,96.39474829797888
1,2023091006,575,Jauan Jennings,SF,PIT,I,13,IN,05:36,2,2,82.89948575525474
1,2023091006,598,George Kittle,SF,PIT,C,2,OUT,05:32,3,2,78.06560242630243
1,2023091007,1167,Zach Ertz,ARI,WAS,C,3,HITCH,14:46,1,2,83.1082036598525
1,2023091007,1620,Terry McLaurin,WAS,ARI,C,5,HITCH,06:17,1,2,66.3817113077539
1,2023091007,2013,Terry McLaurin,WAS,ARI,I,7,HITCH,01:09,1,2,83.32160772078036
1,2023091007,2036,Logan Thomas,WAS,ARI,I,6,SLANT,01:05,2,2,83.33333327295306
1,2023091007,2135,Curtis Samuel,WAS,ARI,C,14,OUT,00:49,1,2,83.0090619755332
1,2023091007,3542,James Conner,ARI,WAS,C,-2,FLAT,11:14,2,2,82.1596782196073
1,2023091007,77,Jahan Dotson,WAS,ARI,C,6,HITCH,14:30,2,2,43.18951845194363
1,2023091008,1601,Samori Toure,GB,CHI,C,13,IN,04:42,3,2,83.1287986127371
1,2023091008,3377,Darnell Mooney,CHI,GB,IN,13,IN,12:53,3,2,81.5387248032156
1,2023091008,840,Malik Heath,GB,CHI,I,11,IN,02:04,1,2,83.333332421323007
1,2023091009,1507,Davante Adams,LV,DEN,C,3,HITCH,04:10,2,2,65.80342966310184
1,2023091009,3587,Courtland Sutton,DEN,LV,I,10,HITCH,05:55,2,2,82.13067661063708
1,2023091009,797,Lil'Jordan Humphrey,DEN,LV,C,5,IN,00:50,2,2,83.05480881176885
1,2023091010,1558,Durham Smythe,MIA,LAC,I,11,POST,08:20,3,2,73.66477371918965
1,2023091010,1858,Tyreek Hill,MIA,LAC,I,18,CORNER,03:14,3,2,81.7410436055893
1,2023091010,3198,Tyreek Hill,MIA,LAC,C,34,GO,02:18,1,2,83.19274524082181
1,2023091010,4076,Austin Ekeler,LAC,MIA,I,20,WHEEL,06:41,2,2,82.87414024156173
1,2023091010,4473,River Cracraft,MIA,LAC,C,13,POST,02:18,2,2,83.24687573351906
1,2023091010,630,River Cracraft,MIA,LAC,C,12,POST,04:33,2,2,70.91867080460254
1,2023091010,997,Joshua Kelley,LAC,MIA,I,5,OUT,15:00,3,2,83.33333333333333
1,2023091011,2388,Kayshon Boutte,NE,PHI,I,20,GO,14:04,3,2,83.24417392746862
1,2023091011,3262,A.J. Brown,PHI,NE,I,46,GO,15:00,1,2,75.54137810332571
1,2023091011,3683,A.J. Brown,PHI,NE,I,48,IN,09:32,1,2,83.2443729074716
1,2023091011,4270,Kendrick Bourne,NE,PHI,I,19,IN,02:29,3,2,82.18822020343151
1,2023091011,515,Hunter Henry,NE,PHI,C,8,IN,07:04,2,4,100
1,2023091011,637,Kendrick Bourne,NE,PHI,IN,12,HITCH,05:12,3,2,80.24427143220305
1,2023091011,952,JuJu Smith-Schuster,NE,PHI,I,3,OUT,02:08,2,2,82.29797449352935
1,2023091012,1455,Will Dissly,SEA,LA,C,5,HITCH,07:04,1,2,83.27899352158035
1,2023091012,2002,Tutu Atwell,LA,SEA,C,11,SLANT,00:22,3,2,68.91019016434512
1,2023091012,652,Puka Nacua,LA,SEA,C,9,HITCH,03:40,2,2,81.28586982177036
1,2023091013,1072,Jake Ferguson,DAL,NYG,I,13,CORNER,14:50,1,2,83.03760156295067
1,2023091013,1943,Michael Gallup,DAL,NYG,I,28,GO,01:05,1,2,83.17569919235297
1,2023091013,2292,Peyton Hendershot,DAL,NYG,I,17,GO,11:31,2,2,79.95163813644307
1,2023091013,3047,Isaiah Hodgins,NYG,DAL,I,9,HITCH,00:02,4,2,82.73419409608192
1,2023091100,1216,James Cook,BUF,NYJ,I,5,ANGLE,09:21,1,2,81.63471942960143
1,2023091100,1551,Randall Cobb,NYJ,BUF,IN,10,POST,03:17,1,2,82.40676752706764
1,2023091100,3618,Stefon Diggs,BUF,NYJ,C,15,HITCH,01:00,1,2,83.15616334839189
2,2023091400,2500,Justin Jefferson,MIN,PHI,I,7,IN,09:23,2,2,83.31172816670306
2,2023091400,2793,Justin Jefferson,MIN,PHI,I,5,CROSS,05:36,3,2,82.28415032179845
2,2023091400,3072,A.J. Brown,PHI,MIN,I,7,HITCH,15:00,1,2,83.32329212884551
2,2023091400,3117,DeVonta Smith,PHI,MIN,C,8,HITCH,14:13,3,2,64.41636535449362
2,2023091400,685,DeVonta Smith,PHI,MIN,IN,21,IN,03:04,3,2,83.33310719582329
2,2023091400,953,K.J. Osborn,MIN,PHI,C,6,SLANT,14:23,3,2,76.87723375836958
2,2023091700,111,Luke Musgrave,GB,ATL,I,17,CROSS,14:09,2,2,79.53366833510248
2,2023091700,1809,Mack Hollins,ATL,GB,C,8,SLANT,01:54,1,2,83.00332541064974
2,2023091700,2147,Drake London,ATL,GB,I,15,CROSS,14:53,1,2,62.22424535046975
2,2023091700,3373,Malik Heath,GB,ATL,I,4,HITCH,11:07,3,2,79.50047135075968
2,2023091700,3781,Drake London,ATL,GB,C,20,CORNER,06:07,1,2,74.31167486909072
2,2023091701,1105,Tre Tucker,LV,BUF,I,42,GO,12:10,1,2,82.11064604167314
2,2023091701,2465,Gabe Davis,BUF,LV,C,2,HITCH,06:06,4,3,95.11749066429232
2,2023091701,3025,Davante Adams,LV,BUF,I,17,GO,12:57,3,2,70.26416250425565
2,2023091702,164,Mark Andrews,BAL,CIN,C,7,HITCH,12:27,3,2,83.33082759248707
2,2023091702,1736,Ja'Marr Chase,CIN,BAL,I,9,GO,03:09,3,2,81.13746259351099
2,2023091702,2483,Tee Higgins,CIN,BAL,IN,15,POST,10:48,2,2,79.37336087715181
2,2023091702,2515,Zay Flowers,BAL,CIN,C,48,GO,10:39,1,2,72.7368344111187
2,2023091702,663,Nelson Agholor,BAL,CIN,I,41,GO,03:36,1,2,77.63378295395901
2,2023091703,1008,Jahmyr Gibbs,DET,SEA,C,4,ANGLE,13:56,3,2,82.81328985815722
2,2023091703,2062,Amon-Ra St. Brown,DET,SEA,C,34,GO,00:02,1,2,80.25069956367001
2,2023091703,210,DK Metcalf,SEA,DET,C,14,HITCH,11:45,1,2,81.45283679123484
2,2023091703,3185,Will Dissly,SEA,DET,C,0,CROSS,15:00,2,2,83.33331917925982
2,2023091704,1127,Michael Pittman,IND,HOU,I,10,IN,15:00,2,2,83.33333333286244
2,2023091704,1309,Dalton Schultz,HOU,IND,I,16,CROSS,12:59,2,2,59.269156071481675
2,2023091704,1584,Nico Collins,HOU,IND,C,20,IN,09:43,1,2,79.55922276517336
2,2023091704,2084,Will Mallory,IND,HOU,C,6,HITCH,01:12,3,2,79.92990676942864
2,2023091704,4327,Xavier Hutchinson,HOU,IND,I,13,HITCH,00:57,1,2,82.4900171354635
2,2023091705,2380,Travis Kelce,KC,JAX,I,6,IN,13:39,2,2,83.31716811223411
2,2023091705,2780,Isiah Pacheco,KC,JAX,I,4,OUT,06:51,1,2,81.2731809783173
2,2023091705,3477,Justin Watson,KC,JAX,C,14,GO,13:43,1,2,83.19801377122427
2,2023091706,1433,Chase Claypool,CHI,TB,C,5,HITCH,06:11,2,2,83.33205060473801
2,2023091706,1882,Chris Godwin Jr.,TB,CHI,I,23,GO,00:26,1,2,83.32823634832715
2,2023091706,676,Chris Godwin Jr.,TB,CHI,C,20,IN,03:40,2,2,82.80286742864274
2,2023091707,1413,Treylon Burks,TEN,LAC,C,55,GO,08:16,1,2,81.328718661123
2,2023091707,4001,Mike Williams,LAC,TEN,I,22,GO,10:00,1,2,82.27177521563893
2,2023091707,577,Keenan Allen,LAC,TEN,I,3,CROSS,04:35,1,2,70.10529648558062
2,2023091707,90,Quentin Johnston,LAC,TEN,C,7,HITCH,14:54,2,2,83.33333329440622
2,2023091708,1168,Saquon Barkley,NYG,ARI,C,-4,ANGLE,14:41,3,2,72.3754850866518
2,2023091708,1628,Darren Waller,NYG,ARI,C,12,IN,06:46,3,2,83.24463038021418
2,2023091708,264,Isaiah Hodgins,NYG,ARI,C,5,SLANT,12:12,1,2,83.3226302623398
2,2023091708,3082,Marquise Brown,ARI,NYG,I,6,SLANT,15:00,2,2,83.33193684847629
2,2023091708,3384,Parris Campbell,NYG,ARI,C,6,IN,10:18,3,2,82.03115261028186
2,2023091708,402,Zach Ertz,ARI,NYG,C,6,HITCH,10:24,1,2,66.0619007808757
2,2023091708,494,Michael Wilson,ARI,NYG,C,20,OUT,08:24,3,2,82.86643621796223
2,2023091709,102,Christian McCaffrey,SF,LA,C,9,HITCH,13:38,1,3,100
2,2023091709,1228,George Kittle,SF,LA,C,7,SLANT,09:49,1,2,81.61364380168632
2,2023091709,1302,Brandon Aiyuk,SF,LA,I,33,GO,07:57,2,2,79.45241734220117
2,2023091709,1524,Tutu Atwell,LA,SF,C,18,CORNER,04:22,1,2,82.03601532698269
2,2023091709,2854,Tutu Atwell,LA,SF,I,25,OUT,01:21,1,2,82.24887437010743
2,2023091709,2993,Deebo Samuel Sr.,SF,LA,C,16,IN,15:00,2,2,83.32863034063769
2,2023091709,3207,Puka Nacua,LA,SF,C,5,HITCH,11:02,1,2,83.33140353219903
2,2023091709,4269,Van Jefferson,LA,SF,C,10,HITCH,01:19,1,2,78.70294882865245
2,2023091709,4342,Van Jefferson,LA,SF,I,45,POST,00:49,1,2,82.4690193714351
2,2023091710,1345,Jalen Tolbert,DAL,NYJ,I,43,GO,07:40,3,3,100
2,2023091710,172,CeeDee Lamb,DAL,NYJ,C,23,GO,12:31,1,2,76.26667835851218
2,2023091710,2849,Tony Pollard,DAL,NYJ,I,2,FLAT,05:28,3,2,83.33332403050548
2,2023091710,3659,Garrett Wilson,NYJ,DAL,I,29,GO,08:18,1,2,83.33329817737165
2,2023091710,3860,Garrett Wilson,NYJ,DAL,IN,44,GO,06:10,2,2,81.19828758820401
2,2023091710,4021,Allen Lazard,NYJ,DAL,I,27,HITCH,03:26,2,2,83.24324164425768
2,2023091710,4103,Michael Carter,NYJ,DAL,IN,2,OUT,03:07,1,2,80.82474864416628
2,2023091711,2647,Jerry Jeudy,DEN,WAS,I,26,CORNER,10:41,1,2,82.47633421061849
2,2023091711,3920,Courtland Sutton,DEN,WAS,I,8,OUT,05:51,1,3,100
2,2023091711,4627,Brandon Johnson,DEN,WAS,C,46,GO,00:03,1,2,79.50400333233962
2,2023091711,855,Marvin Mims Jr.,DEN,WAS,C,46,POST,00:20,1,2,81.16985371385593
2,2023091712,2078,Braxton Berrios,MIA,NE,C,15,GO,00:31,1,2,81.7584090278528
2,2023091712,2480,DeVante Parker,NE,MIA,C,-2,SCREEN,11:53,1,2,52.29439947708593
2,2023091712,3331,JuJu Smith-Schuster,NE,MIA,C,12,HITCH,14:00,1,2,83.27342499403673
2,2023091800,1236,Michael Thomas,NO,CAR,C,6,SLANT,12:27,2,2,75.2348096944734
2,2023091800,1363,Michael Thomas,NO,CAR,C,19,GO,10:55,3,2,83.22720922652536
2,2023091800,1854,Jonathan Mingo,CAR,NO,I,14,IN,04:18,3,2,62.73585616422413
2,2023091800,1945,Chris Olave,NO,CAR,IN,21,CROSS,03:16,3,2,71.39218435374548
2,2023091800,2098,Chris Olave,NO,CAR,C,4,HITCH,01:41,1,2,78.35501365648884
2,2023091800,2700,Jonathan Mingo,CAR,NO,I,13,POST,09:45,2,2,83.33332960068415
2,2023091800,523,Keith Kirkwood,NO,CAR,I,10,CROSS,07:00,1,2,71.82014641530695
2,2023091801,1640,George Pickens,PIT,CLE,I,12,IN,09:18,3,2,80.11516596243787
2,2023091801,2139,George Pickens,PIT,CLE,I,10,SLANT,03:03,2,2,83.2456714066858
2,2023091801,3131,Donovan Peoples-Jones,CLE,PIT,I,5,OUT,06:38,1,2,83.30807308599482
3,2023092100,1441,Matt Breida,NYG,SF,C,4,ANGLE,07:41,2,2,80.93326400083704
3,2023092100,3957,Darren Waller,NYG,SF,IN,12,SLANT,03:48,3,2,66.06156433491743
3,2023092400,2505,Mark Andrews,BAL,IND,I,7,IN,07:55,3,2,83.3333333332931
3,2023092400,3110,Josh Downs,IND,BAL,C,3,HITCH,14:18,2,2,83.32267521478481
3,2023092400,3798,Kylen Granson,IND,BAL,I,8,HITCH,02:14,1,2,77.74289296091607
3,2023092400,4615,Alec Pierce,IND,BAL,I,36,GO,08:43,3,2,83.32561459209724
3,2023092401,1781,Amari Cooper,CLE,TEN,I,38,GO,02:04,1,2,78.82942932096503
3,2023092401,1915,DeAndre Hopkins,TEN,CLE,I,28,GO,01:00,1,2,82.99670897267234
3,2023092401,2005,DeAndre Hopkins,TEN,CLE,C,24,GO,00:50,3,2,82.727328601687
3,2023092401,2414,Treylon Burks,TEN,CLE,I,45,POST,11:43,3,2,83.25470240341525
3,2023092402,1271,Kyle Pitts,ATL,DET,I,9,OUT,10:05,1,2,82.2634505635347
3,2023092402,1713,Amon-Ra St. Brown,DET,ATL,I,5,HITCH,02:00,3,2,83.00913908515547
3,2023092402,1909,Amon-Ra St. Brown,DET,ATL,C,20,CORNER,00:51,1,2,83.2044951116097
3,2023092402,4336,Jonnu Smith,ATL,DET,I,9,GO,02:10,1,2,68.25277378555606
3,2023092403,1919,Chris Olave,NO,GB,C,27,GO,00:36,1,2,81.03098778413785
3,2023092403,2220,Romeo Doubs,GB,NO,IN,41,GO,13:25,3,2,80.3816682916794
3,2023092403,2905,Romeo Doubs,GB,NO,C,30,GO,01:53,1,2,80.61278172077209
3,2023092403,3620,Romeo Doubs,GB,NO,I,13,GO,08:16,1,2,83.33322755285259
3,2023092403,4078,Jayden Reed,GB,NO,C,29,GO,04:13,2,2,80.1097420984624
3,2023092403,526,Keith Kirkwood,NO,GB,I,8,CORNER,06:48,2,2,82.82604857322006
3,2023092404,1096,Calvin Ridley,JAX,HOU,I,7,SLANT,12:48,2,2,75.70472342737156
3,2023092404,1947,Calvin Ridley,JAX,HOU,I,27,GO,01:18,2,2,82.40881226783374
3,2023092404,2110,Tank Dell,HOU,JAX,I,35,CORNER,00:32,1,2,68.44273955692942
3,2023092404,2178,Dalton Schultz,HOU,JAX,C,6,IN,00:27,2,2,73.00714466309654
3,2023092404,2841,Jamal Agnew,JAX,HOU,C,9,SLANT,07:57,3,2,83.26047911035008
3,2023092404,3122,Evan Engram,JAX,HOU,C,2,FLAT,03:12,1,2,83.32816412510549
3,2023092404,3183,Jamal Agnew,JAX,HOU,IN,11,IN,02:28,3,2,83.31609516806938
3,2023092404,3541,Evan Engram,JAX,HOU,C,4,HITCH,12:07,1,2,83.28572542061778
3,2023092404,3804,Christian Kirk,JAX,HOU,C,17,OUT,08:59,1,2,56.988594101608946
3,2023092404,733,Robert Woods,HOU,JAX,C,7,ANGLE,03:52,2,2,83.33325735766344
3,2023092405,1103,Tyreek Hill,MIA,DEN,C,3,CROSS,12:11,1,2,83.33333296496647
3,2023092405,210,Courtland Sutton,DEN,MIA,I,28,GO,12:22,3,2,83.07770779239564
3,2023092405,2226,Marvin Mims Jr.,DEN,MIA,I,36,GO,00:43,1,2,70.67074962527875
3,2023092405,2672,Tyreek Hill,MIA,DEN,C,9,CROSS,11:03,3,2,83.04705666664624
3,2023092405,3916,Robbie Chosen,MIA,DEN,C,41,GO,09:17,3,2,83.32194891385888
3,2023092405,529,Jerry Jeudy,DEN,MIA,C,17,HITCH,06:31,1,2,79.94703851599287
3,2023092405,717,Chris Manhertz,DEN,MIA,I,12,IN,01:26,2,2,74.64997109250412
3,2023092405,752,Courtland Sutton,DEN,MIA,C,12,POST,01:21,3,2,82.44487553088237
3,2023092407,1430,JuJu Smith-Schuster,NE,NYJ,C,4,HITCH,08:51,3,2,65.92073337957474
3,2023092407,1836,Hunter Henry,NE,NYJ,I,6,HITCH,01:03,1,2,32.325692461125335
3,2023092407,243,Hunter Henry,NE,NYJ,C,6,OUT,11:30,2,2,50.345383478379155
3,2023092408,1724,Antonio Gibson,WAS,BUF,IN,0,FLAT,01:19,3,2,83.32609551873276
3,2023092408,1803,Deonte Harty,BUF,WAS,I,2,IN,00:36,1,2,83.33333331664699
3,2023092408,232,Dawson Knox,BUF,WAS,I,19,POST,10:23,1,2,80.3306865988032
3,2023092408,2918,Stefon Diggs,BUF,WAS,C,2,OUT,13:25,1,2,83.33333333280831
3,2023092408,3187,Cole Turner,WAS,BUF,C,4,SLANT,10:01,1,2,69.69276319773074
3,2023092408,546,Stefon Diggs,BUF,WAS,I,17,HITCH,04:39,1,2,83.32813220643824
3,2023092409,1390,Tyler Lockett,SEA,CAR,I,15,GO,08:58,2,2,83.3229303767961
3,2023092409,173,D.J. Chark,CAR,SEA,I,7,SLANT,12:48,2,2,82.1542035104829
3,2023092409,4081,D.J. Chark,CAR,SEA,I,30,GO,09:01,1,2,83.33324426940433
3,2023092409,697,DK Metcalf,SEA,CAR,I,28,GO,04:29,1,2,81.29616725489073
3,2023092409,967,Noah Fant,SEA,CAR,C,9,CROSS,00:46,1,3,93.3999356144223
3,2023092410,1603,Brandin Cooks,DAL,ARI,I,15,GO,05:45,1,2,82.36687071983378
3,2023092410,3039,Michael Gallup,DAL,ARI,C,25,GO,07:19,1,2,83.2542211403769
3,2023092410,3526,Brandin Cooks,DAL,ARI,I,5,HITCH,14:19,2,2,83.23180835871786
3,2023092410,4187,Michael Gallup,DAL,ARI,I,18,CORNER,05:25,2,2,83.20530719908919
3,2023092411,1730,Isiah Pacheco,KC,CHI,C,-3,FLAT,02:16,2,2,8.257035533008219
3,2023092411,2043,Chase Claypool,CHI,KC,I,43,GO,00:59,2,2,83.33333333282727
3,2023092411,2244,Noah Gray,KC,CHI,I,6,SLANT,00:11,1,2,83.3296473127768
3,2023092411,3820,DJ Moore,CHI,KC,C,8,SLANT,04:23,3,2,83.33324480337781
3,2023092411,631,DJ Moore,CHI,KC,I,32,CORNER,06:17,2,2,83.08148210270502
3,2023092412,1234,Michael Mayer,LV,PIT,IN,12,IN,12:27,2,2,83.33333325755757
3,2023092412,1737,Allen Robinson,PIT,LV,C,4,HITCH,05:21,1,2,83.33309752670257
3,2023092412,2254,Allen Robinson,PIT,LV,C,8,HITCH,13:57,1,2,80.49016459864423
3,2023092412,2576,Jakobi Meyers,LV,PIT,IN,29,HITCH,07:25,2,2,83.33333333333333
3,2023092412,3653,Calvin Austin III,PIT,LV,I,6,OUT,05:41,1,2,80.78576624354216
3,2023092412,792,Jakobi Meyers,LV,PIT,C,13,POST,05:27,2,2,75.2313772536795
3,2023092500,1384,Mike Evans,TB,PHI,I,15,CORNER,08:43,3,2,83.32533556889821
3,2023092500,1463,Kenneth Gainwell,PHI,TB,C,2,ANGLE,08:29,1,2,64.18589829825666
3,2023092500,1654,Olamide Zaccheaus,PHI,TB,C,29,IN,03:41,3,2,83.33264786113469
3,2023092500,2658,Trey Palmer,TB,PHI,C,8,HITCH,08:34,2,3,100
3,2023092501,1398,Tee Higgins,CIN,LA,I,6,IN,09:16,2,2,77.37039341701842
3,2023092501,1916,Tee Higgins,CIN,LA,I,24,GO,02:36,2,2,83.17374959335382
3,2023092501,773,Tanner Hudson,CIN,LA,C,4,OUT,04:22,1,2,82.51427445186371
4,2023092800,3057,Jayden Reed,GB,DET,C,43,GO,00:01,1,2,83.33327305596279
4,2023092800,596,Josh Reynolds,DET,GB,I,17,OUT,07:10,1,2,81.97727592953528
4,2023092800,873,Romeo Doubs,GB,DET,I,22,IN,01:31,3,2,83.25022277232884
4,2023100100,1429,Drake London,ATL,JAX,IN,6,IN,04:42,1,2,80.68544438858996
4,2023100100,2735,Bijan Robinson,ATL,JAX,C,1,FLAT,03:37,3,2,83.33333333306241
4,2023100101,1676,Stefon Diggs,BUF,MIA,C,8,HITCH,06:20,2,2,74.56946991085877
4,2023100101,2966,Deonte Harty,BUF,MIA,C,4,OUT,03:46,3,2,81.1418616343102
4,2023100101,374,Jaylen Waddle,MIA,BUF,C,11,SLANT,08:33,2,2,72.9008408068558
4,2023100102,3054,Terrace Marshall Jr.,CAR,MIN,C,4,HITCH,13:38,2,2,82.21950333778497
4,2023100102,3330,Justin Jefferson,MIN,CAR,I,26,GO,07:36,3,2,83.01319798006833
4,2023100103,1023,DJ Moore,CHI,DEN,C,14,CROSS,13:00,1,2,82.75377181369352
4,2023100103,148,DJ Moore,CHI,DEN,C,12,IN,12:18,3,3,100
4,2023100103,1560,Courtland Sutton,DEN,CHI,C,6,SLANT,06:08,1,2,82.53418311888944
4,2023100103,2244,DJ Moore,CHI,DEN,C,9,SLANT,10:07,3,2,80.63733273586583
4,2023100103,250,Jerry Jeudy,DEN,CHI,C,6,SLANT,10:02,1,2,83.33333333333333
4,2023100103,3923,DJ Moore,CHI,DEN,I,12,IN,01:18,2,2,82.27001481761381
4,2023100104,2133,Melvin Gordon,BAL,CLE,C,13,WHEEL,01:26,3,2,83.22522149817515
4,2023100104,2229,Zay Flowers,BAL,CLE,C,43,POST,00:36,2,2,83.32213751933536
4,2023100104,2457,Jerome Ford,CLE,BAL,C,4,ANGLE,15:00,1,2,78.79841827245869
4,2023100104,2527,Amari Cooper,CLE,BAL,I,11,IN,13:14,2,2,83.2716158919409
